"Numero de Vertices",Clocks"
"67963","450000"
"69302","1020000"
"69302","1020000"
"69302","490000"
"69874","1000000"
"69874","970000"
"69874","1030000"
"70255","860000"
"70255","760000"
"70255","720000"
"70585","810000"
"70585","720000"
"70585","810000"
"70900","850000"
"70900","620000"
"70900","1030000"
"71129","1140000"
"71129","1240000"
"71129","740000"
"71339","720000"
"71339","500000"
"71339","760000"
"71516","1050000"
"71516","740000"
"71516","490000"
"71516","670000"
"71777","700000"
"71777","770000"
"71777","750000"
"71937","790000"
"71937","950000"
