"Numero de Vertices",Clocks"
"142253","1.30888704e+10"
"145502","1.452938957e+10"
"145502","-1.169942016e+10"
"145502","1.085749965e+10"
"146492","1.089865011e+10"
"146492","-1.042779034e+10"
"146492","9093439488"
"146934","9342019584"
"146934","-9689419776"
"146934","8543799808"
"147343","8279969792"
"147343","-8840359936"
"147343","8132109824"
"147638","7399940096"
"147638","-8126009856"
"147638","6576529920"
"147638","6614689792"
"148079","6548579840"
"148079","-8273430016"
"148079","7063450112"
"148251","6415889920"
"148251","-7637779968"
"148251","5574490112"
"148363","5393889792"
"148363","-7737719808"
"148363","5155630080"
"148525","5687199744"
"148525","-7074590208"
"148525","4841610240"
"148525","4979570176"
"148791","5135699968"
"148791","-6271000064"
