temporal_iteration	number_of_vertices	gradient_max	gradient_min	gradient_media
1	298574	99,97720337	3,33E-027	4,82234621
2	298574	104,0766907	1,16E-020	3,211556196
2	298574	104,0766907	1,16E-020	3,211556196
3	298574	104,5407867	1,57E-017	2,55061698
3	298574	104,5407867	1,57E-017	2,55061698
4	298574	104,6748734	2,39E-015	2,159637213
4	298574	104,6748734	2,39E-015	2,159637213
5	298574	104,7325211	1,27E-013	1,891946077
5	298574	104,7325211	1,27E-013	1,891946077
6	298574	104,7626724	3,46E-012	1,693223238
6	298574	104,7626724	3,46E-012	1,693223238
7	298574	104,7804413	2,53E-011	1,537675261
7	298574	104,7804413	2,53E-011	1,537675261
8	298574	104,7918015	1,97E-010	1,411134005
8	298574	104,7918015	1,97E-010	1,411134005
9	298574	104,7994995	3,39E-009	1,305091023
9	298574	104,7994995	3,39E-009	1,305091023
10	298574	104,8049698	3,84E-009	1,21413219
10	298574	104,8049698	3,84E-009	1,21413219
11	298574	104,8089828	2,23E-009	1,134680271
11	298574	104,8089828	2,23E-009	1,134680271
