"Numero de Vertices",Clocks"
"67963","30810000"
"68049","24990000"
"68049","15230000"
"68049","25440000"
"68078","15870000"
"68078","18460000"
"68078","15450000"
"68078","13040000"
"68078","27420000"
"68078","17670000"
"68150","24460000"
"68150","27640000"
"68150","27380000"
"68150","14950000"
"68150","25560000"
"68150","25110000"
"68150","15490000"
"68150","14860000"
"68150","30090000"
"68150","30160000"
"68150","14620000"
"68282","22450000"
"68282","17680000"
"68282","15300000"
"68282","25660000"
"68282","14980000"
"68282","14690000"
"68282","23840000"
"68282","15580000"
"68282","12640000"
"68282","29840000"
"68282","14140000"
"68282","12680000"
"68282","18350000"
"68425","13870000"
"68425","13950000"
"68425","12610000"
"68425","12680000"
"68463","12680000"
"68463","12630000"
"68463","12670000"
"68463","12770000"
"68463","12720000"
"68463","12790000"
"68463","12800000"
"68463","12790000"
"68463","13580000"
"68463","12620000"
"68463","12830000"
"68463","12700000"
"68463","13400000"
"68463","12720000"
"68463","12220000"
"68463","12820000"
"68463","12740000"
"68463","8120000"
"68463","2460000"
"68463","2450000"
"68672","2460000"
"68672","2490000"
"68672","2470000"
"68672","2470000"
"68672","2470000"
"68682","2460000"
"68682","2510000"
"68682","2460000"
"68691","2480000"
"68691","2490000"
"68691","2470000"
"68691","2450000"
"68691","2460000"
"68691","2490000"
"68691","2460000"
"68691","2480000"
"68691","2470000"
"68691","2480000"
"68691","2460000"
"68691","2460000"
"68691","2480000"
"68691","2470000"
"68691","2460000"
"68691","2460000"
"68789","2460000"
"68789","2460000"
