"Numero de Vertices",Clocks"
"67963","4807830016"
"68049","5387440128"
"68049","-5050979840"
"68049","4235810048"
"68078","4173210112"
"68078","-4032740096"
"68078","3312440064"
"68078","3432940032"
"68078","3166210048"
"68078","3387899904"
"68150","3081050112"
"68150","-3487069952"
"68150","2727950080"
"68150","3261469952"
"68150","2770279936"
"68150","2733870080"
"68150","2832839936"
"68150","2704049920"
"68150","2511049984"
"68150","2697959936"
"68150","3207379968"
"68282","2989629952"
"68282","-3211699968"
"68282","2658720000"
"68282","2693769984"
"68282","2541149952"
"68282","2522180096"
"68282","2663170048"
"68282","2456809984"
"68282","2477819904"
"68282","2516489984"
"68282","2227980032"
"68282","1904320000"
"68282","2131309952"
"68425","1665040000"
"68425","-1951810048"
"68425","1446599936"
"68425","1457810048"
"68463","1422130048"
"68463","-1782710016"
"68463","1354070016"
"68463","1309570048"
"68463","1325600000"
"68463","1350930048"
"68463","1391820032"
"68463","1365890048"
"68463","1366329984"
"68463","1355990016"
"68463","1346150016"
"68463","1374000000"
"68463","1376940032"
"68463","1372240000"
"68463","1361689984"
"68463","1367490048"
"68463","1079890048"
"68463","451280000"
"68463","305529984"
"68463","303729984"
"68672","320270016"
"68672","-367929984"
"68672","277950016"
"68672","270809984"
"68672","270990016"
"68682","250920000"
"68682","-359409984"
"68682","261110000"
"68691","217240000"
"68691","-346689984"
"68691","248260000"
"68691","249740000"
"68691","246920000"
"68691","246240000"
"68691","243830000"
"68691","245310000"
"68691","242120000"
"68691","247570000"
"68691","245630000"
"68691","240150000"
"68691","241490000"
"68691","247760000"
"68691","245150000"
"68691","235860000"
"68789","260020000"
"68789","-346350016"
