"Numero de Vertices",Clocks"
"142253","1680000"
"143855","1250000"
"143855","2550000"
"143855","2350000"
"144336","1870000"
"144336","1290000"
"144336","1540000"
"144740","1300000"
"144740","1840000"
"144740","1570000"
"145306","1550000"
"145306","2670000"
"145306","3150000"
"145306","1300000"
"146098","1310000"
"146098","1320000"
"146098","1340000"
"146338","2590000"
"146338","1630000"
"146338","1290000"
"146338","1560000"
"146927","3070000"
"146927","2770000"
"146927","1620000"
"147201","3960000"
"147201","1630000"
"147201","1950000"
"147201","1580000"
"147592","1600000"
"147592","1350000"
"147592","1660000"
"147723","1320000"
"147723","1380000"
