"Numero de Vertices",Clocks"
"15788","130000"
"16265","130000"
"16265","90000"
"16265","190000"
"16615","190000"
"16615","100000"
"16615","160000"
"16832","190000"
"16832","140000"
"16832","90000"
"16955","230000"
"16955","170000"
"16955","190000"
"17077","280000"
"17077","330000"
"17077","310000"
"17178","140000"
"17178","230000"
"17178","210000"
"17334","290000"
"17334","300000"
"17334","150000"
"17420","320000"
"17420","180000"
"17420","270000"
"17488","230000"
"17488","330000"
"17488","150000"
"17488","120000"
"17579","260000"
"17579","170000"
