"Numero de Vertices",Clocks"
"142253","2410000"
"142441","1870000"
"142441","1810000"
"142441","1780000"
"142520","2020000"
"142520","1760000"
"142520","3790000"
"142556","2020000"
"142556","1730000"
"142556","1800000"
"142556","1840000"
"142556","1790000"
"142705","2010000"
"142705","1810000"
"142705","1670000"
"142733","2000000"
"142733","1800000"
"142733","1780000"
"142733","1850000"
"142733","3680000"
"142837","2020000"
"142837","1730000"
"142837","1770000"
"142837","1860000"
"142837","1840000"
"142837","1840000"
"142837","1880000"
"142979","2050000"
"142979","2000000"
"142979","1740000"
"142979","1880000"
"143028","1500000"
"143028","1140000"
"143028","320000"
"143028","330000"
"143028","320000"
"143028","330000"
"143028","320000"
"143028","320000"
"143028","330000"
"143028","320000"
"143217","380000"
"143217","330000"
"143217","320000"
"143217","330000"
"143217","330000"
"143217","330000"
"143217","330000"
"143316","370000"
"143316","330000"
