"Numero de Vertices",Clocks"
"142253","1.435308954e+10"
"144098","1.498464051e+10"
"144098","-1.18670295e+10"
"144098","1.097084006e+10"
"144773","1.109185024e+10"
"144773","-1.044666982e+10"
"144773","9689509888"
"145165","9132539904"
"145165","-9548090368"
"145165","7976430080"
"145574","7949940224"
"145574","-9128790016"
"145574","7136999936"
"145574","7765810176"
"146189","6565720064"
"146189","-8612950016"
"146189","6529650176"
"146189","6269069824"
"146538","6874950144"
"146538","-7947890176"
"146538","6012129792"
"146680","6301450240"
"146680","-7424019968"
"146680","5975379968"
"146680","6128849920"
"147006","6138469888"
"147006","-6873920000"
"147006","5469329920"
"147006","5079669760"
"147006","5562070016"
"147328","5318900224"
"147328","-5647680000"
"147328","3911620096"
"147328","2090130048"
"147508","2441299968"
"147508","-2852669952"
