"Numero de Vertices",Clocks"
"32515","6240000"
"33307","7290000"
"33307","13880000"
"33307","14360000"
"33704","13220000"
"33704","9350000"
"33704","14700000"
"33971","14760000"
"33971","7460000"
"33971","8830000"
"34210","12270000"
"34210","14730000"
"34210","15090000"
"34356","14000000"
"34356","12090000"
"34356","12730000"
"34510","14840000"
"34510","11370000"
"34510","15150000"
"34657","11650000"
"34657","13240000"
"34657","6290000"
"34760","15230000"
"34760","7370000"
"34760","6300000"
"34879","13480000"
"34879","7700000"
"34879","15010000"
"34980","7650000"
"34980","15330000"
