temporal_iteration	number_of_vertices	gradient_max	gradient_min	gradient_media
1	67963	45,65052414	7,89E-027	4,088095665
2	67963	50,95815277	9,96E-021	2,881991148
2	67963	50,95815277	9,96E-021	2,881991148
3	67963	51,84109879	1,10E-017	2,33776474
3	67963	51,84109879	1,10E-017	2,33776474
4	67963	52,10833359	3,99E-016	2,004366875
4	67963	52,10833359	3,99E-016	2,004366875
5	67963	52,22352982	1,60E-013	1,771299601
5	67963	52,22352982	1,60E-013	1,771299601
6	67963	52,28373718	9,42E-013	1,595750213
6	67963	52,28373718	9,42E-013	1,595750213
7	67963	52,31920242	6,18E-011	1,456895947
7	67963	52,31920242	6,18E-011	1,456895947
8	67963	52,34187317	6,59E-010	1,343075871
8	67963	52,34187317	6,59E-010	1,343075871
9	67963	52,35725403	5,13E-009	1,247157216
9	67963	52,35725403	5,13E-009	1,247157216
10	67963	52,36816788	1,91E-008	1,092022538
10	67963	52,36816788	1,91E-008	1,092022538
11	67963	52,376194	3,36E-008	1,062022538
11	67963	52,376194	3,36E-008	1,062022538
